alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
01_A_0101,Gallinas,"0 g","218.5 kcal/100g","0 g","28.1 g",
01_A_0102,Granadilla,"17.8 g","50.6 kcal","0.3 g","1 g",
01_A_0103,Guajolote,"0 g","158.3 kcal","7.8 g","20.2 g",
01_A_0104,Hierbabuena,"7 g","40 kcal","2 g","2 g",
01_A_0105,Huazontle,"12 g","60 kcal",,"4.5 g",
01_A_0106,Huevo,"1.1 g","154.5 kcal","10.7 g","12.5 g",
01_A_0107,Jitomate,"3.9 g","17.7 kcal","0.2 g","0.9 g",
01_A_0108,Limón,"10.7 g","20.3 kcal","0.3 g","1.2 g",
01_A_0109,Manzana,"13.9 g","51.9 kcal","0.2 g","0.3 g",
01_A_0110,Manzanilla,"0.7 g","4 kcal","0.2 g","0.2 g",
01_A_0111,Miel,"82.1 g","350 kcal","0 g","0 g",
01_A_0112,Nopal,"3.3 g","14.8 kcal","0.1 g","1.3 g",
01_A_0113,Nuez,"14.4 g","744.4 kcal","744.4 g","10 g",
01_A_0114,Pera,"15.4 g","58 kcal","0.1 g","0.4 g",
01_A_0115,Perejil,"15.4 g","36.7 kcal",,"3 g",
01_A_0116,Pollo,"0 g","160 kcal","4 g","29 g",
01_A_0117,Rábano,"3.4 g","16.3 kcal","0.1 g","0.7 g",
01_A_0118,Romero,"66.7 g","366.7 kcal","16.7 g","6.7 g",
01_A_0119,Toronjil,"7 g","40 kcal","2 g","2 g",
01_A_0120,Res,"0 g","180 kcal","10 g","20.7 g",
01_A_0121,"Semilla de chilacayote","2.7 g","14.1 kcal","0.2 g","1.2 g",
01_A_0122,Xoconostle,"5.2 g","25.4 kcal","0.4 g","0.1 g",
01_A_0123,Zanahoria,"6.7 g","40.6 kcal","0.3 g","0.9 g",
01_A_0124,"Zapote blanco","16.1 g","70 kcal","0.7 g","1.7 g",
01_A_0125,Zarzamora,"12.8 g","52.1 kcal","0.6 g","0.7 g",
01_A_0126,Guayaba,,,,,
01_A_0127,"Leche bronca","4.7 g","61.7 kcal","3.3 g","3.3 g",
01_A_0128,Pinole,"75.5 g","385 kcal","6.5 g","10.5 g",
01_A_0129,Quelites,"3.9 g","39.4 kcal","0.5 g","4.7 g",
01_A_0130,"Chile cuaresmeño",,,,,
01_A_0131,Sal,,,,,
01_A_0132,Agua,,,,,
01_A_0133,Ajo,,,,,
01_A_0134,Canela,,,,,
01_A_0135,Café,,,,,
01_A_0136,Arroz,,,,,
01_A_0137,"Chile poblano",,,,,
01_B_0001,"Queso de vaca","5 g","145 kcal","7 g","15.3 g",
01_B_0002,"Quelites con huevo en salsa roja o verde",,,,,
01_B_0003,"Tacos de quelites sudados",,,,,
01_B_0004,"Tacos de chivatitos",,,,,
01_B_0005,"Tacos de nopales",,,,,
01_B_0006,"Papas con nopales",,,,,
01_B_0007,"Nopales con huevo en chile pasilla",,,,,
01_B_0008,"Sopa de hongos",,,,,
01_B_0009,"Quesadillas de hongos",,,,,
01_B_0010,"Hongos en salsa roja o verde",,,,,
01_B_0011,"Tamales de ceniza",,,,,
01_B_0012,"Tamales de frijoles",,,,,
01_B_0013,"Tamales de hongos",,,,,
01_B_0014,"Pozole de trigo en salsa roja o verde con puerco",,,,,
01_B_0015,Pulque,,,,,
01_B_0016,Aguamiel,,,,,
01_B_0017,"Café soluble",,,,,
01_B_0018,"Té de monte","7 g","40 kcal","2 g","2 g",
01_B_0019,"Té de manzanilla","7 g","41 kcal","2 g","2 g",
01_B_0020,"Té de hierbabuena","7 g","42 kcal","2 g","2 g",
01_B_0021,"Té de tabaquillo","7 g","43 kcal","2 g","2 g",
01_B_0022,"Atole de trigo",,,,,
01_B_0023,"Atole de guayaba",,,,,
01_B_0024,"Atole de zarza",,,,,
01_B_0025,"Atole de maíz",,,,,
01_B_0026,"Atole agrio",,,,,
01_B_0027,Sende,,,,,
01_B_0028,Tortilla,"45.3 g","213.3 kcal","1.6 g",,
01_B_0029,Tamal,,,,,
01_B_0030,Tlascales,,,,,
01_B_0031,Salsa,,,,,
01_B_0032,Palomitas,"70.9 g","366.6 kcal","4.7 g","12.3 g",
01_B_0033,Masa,"31.8 g","154 kcal","2 g","3.6 g",
01_B_0034,"Quelites quintoniles guisados",,,,,
01_B_0035,"Sopa de malva",,,,,
01_B_0036,"Ensalada de berros",,,,,
01_B_0037,"Quelites quintoniles con puerco en salsa verde",,,,,
01_B_0038,"Tunitas cocidas",,,,,
01_B_0039,"Charales en tamal",,,,,
01_B_0040,"Nopales con acoxiles",,,,,
01_B_0041,"Nopalitos cocidos con cebolla y jitomate",,,,,
01_B_0042,"Nopalitos en ensalada con perejil, cebolla y jitomate",,,,,
01_B_0043,"Torta de nopales",,,,,
01_B_0044,"Nopales en caldo con charales y papas",,,,,
01_B_0045,"Nopales cocidos en sal",,,,,
01_B_0046,"Hongos en chile rojo",,,,,
01_B_0047,"Acelgas con puerco",,,,,
01_B_0048,"Acoxiles cocidos con sal",,,,,
01_B_0049,"Ensalada de Acoxiles",,,,,
01_B_0050,"Ate de tejocote",,,,,
01_B_0051,"Carne de puerco en salsa roja",,,,,
01_B_0052,"Tacos de chizas asadas",,,,,
01_B_0053,"Tortita de flor de calabaza",,,,,
