id,name,carbs,energy,fat,protein,sodium
2033,"ALIMENTO PARA BEBE GERBER, MACARRONES CON QUESO Y RES (JUNIOR)",9.6,56.14,0.94,2.32,
2034,"ALIMENTO PARA BEBE GERBER, MANGO (NECTAR)",13.55,54.2,0,0,
2035,"ALIMENTO PARA BEBE GERBER, MANGO (POSTRE, JUNIOR)",12.94,53.82,0.1,0.29,
2036,"ALIMENTO PARA BEBE GERBER, MANGO (PURE)",16.81,67.24,0,0,
2037,"ALIMENTO PARA BEBE GERBER, MANGO CON TAPIOCA O TRIGO (PURE)",21.6,89,0.2,0.3,
2038,"ALIMENTO PARA BEBE GERBER, MANGO CON YOGURT (PURE)",15.88,72.62,0.7,0.7,
2039,"ALIMENTO PARA BEBE GERBER, MANZANA (JUGO)",13.55,54.2,0,0,
2040,"ALIMENTO PARA BEBE GERBER, MANZANA (NECTAR)",13.55,54.2,0,0,
2041,"ALIMENTO PARA BEBE GERBER, MANZANA (POSTRE)",16.81,79.12,1.32,0,
2042,"ALIMENTO PARA BEBE GERBER, MANZANA (POSTRE, JUNIOR)",14,57.82,0.1,0.23,
2043,"ALIMENTO PARA BEBE GERBER, MANZANA (PURE)",15.92,63.68,0,0,
2044,"ALIMENTO PARA BEBE GERBER, MANZANA CON AVENA (PURE)",14.15,67.45,0.97,0.53,
2045,"ALIMENTO PARA BEBE GERBER, MANZANA CON OTRA FRUTA (JUGO)",13.55,54.2,0,0,
2046,"ALIMENTO PARA BEBE GERBER, MANZANA CON YOGURT (PURE)",16.47,74.98,0.7,0.7,
2047,"ALIMENTO PARA BEBE GERBER, MANZANA Y CHABACANO (PURE)",11.6,49,0.2,0.2,
2048,"ALIMENTO PARA BEBE GERBER, MANZANA Y OTRA FRUTA CON DHA (PURE)",19.46,77.85,0,0,
2049,"ALIMENTO PARA BEBE GERBER, PAPAYA Y MANZANA (PURE)",15.25,62.91,0.11,0.23,
2050,"ALIMENTO PARA BEBE GERBER, PASTITAS CON RES (JUNIOR)",8.52,65.08,2.36,2.44,
2051,"ALIMENTO PARA BEBE GERBER, PAVO CON ARROZ A LA MEX (JUNIOR)",7.48,65.32,2.44,3.36,
2052,"ALIMENTO PARA BEBE GERBER, PAVO CON VERDURAS (PURE)",6,91,4.8,6,
2053,"ALIMENTO PARA BEBE GERBER, PERA (JUGO)",11.86,47.44,0,0,
2054,"ALIMENTO PARA BEBE GERBER, PERA (PURE)",18.82,75.28,0,0,
2055,"ALIMENTO PARA BEBE GERBER, PERA Y OTRA FRUTA CON DHA (PURE)",19.02,76.09,0,0,
2056,"ALIMENTO PARA BEBE GERBER, PERA Y PIÑA (PURE)",10.9,46,0.1,0.3,
2057,"ALIMENTO PARA BEBE GERBER, PLATANO (PURE)",17.69,70.76,0,0,
2058,"ALIMENTO PARA BEBE GERBER, PLATANO Y PIÑA CON TAPIOCA (PURE)",18.4,75,0.1,0.2,
2059,"ALIMENTO PARA BEBE GERBER, POLLO A LA MANZANA (JUNIOR)",10,68.52,1.96,2.72,
2060,"ALIMENTO PARA BEBE GERBER, POLLO CON ARROZ A LA MEX (JUNIOR)",7.24,71.72,3.4,3.04,
2061,"ALIMENTO PARA BEBE GERBER, POLLO CON PAPAS (JUNIOR)",9,80.92,3.48,3.4,
2062,"ALIMENTO PARA BEBE GERBER, POLLO CON VERDURAS (PURE)",5.9,81,3.6,6.2,
2063,"ALIMENTO PARA BEBE GERBER, PROMEDIO (PURE)",10.98,64.73,1.41,2.38,
2064,"ALIMENTO PARA BEBE GERBER, RES (PURE)",2.43,81,2.52,12.03,
2065,"ALIMENTO PARA BEBE GERBER, RES CON VERDURAS (PURE)",5.13,32.56,0.08,2.83,
2066,"ALIMENTO PARA BEBE GERBER, SALMON A LAS FINAS HIERBAS",8.4,73.09,3,3.09,
2067,"ALIMENTO PARA BEBE GERBER, SOPA DE SALMON",13.27,96.9,3.09,3.98,
2068,"ALIMENTO PARA BEBE GERBER, TERNERA (PURE)",7.7,48,0.9,2,
2069,"ALIMENTO PARA BEBE GERBER, TERNERA (PURE)",1.51,81,2.45,13.12,
2070,"ALIMENTO PARA BEBE GERBER, TERNERA A LA NARANJA (JUNIOR)",10,70.8,1.84,3.56,
2071,"ALIMENTO PARA BEBE GERBER, TERNERA CON VERDURAS Y PASTA (PURE)",6.88,70.83,3.35,3.29,
2072,"ALIMENTO PARA BEBE GERBER, TRIGO CON MANZANA (CEREAL)",81.33,387.96,4,6.66,
2073,"ALIMENTO PARA BEBE GERBER, TRIGO CON MIEL (CEREAL)",81.33,381.93,3.33,6.66,
2074,"ALIMENTO PARA BEBE GERBER, UVA BLANCA (JUGO)",14.4,57.6,0,0,
2075,"ALIMENTO PARA BEBE GERBER, VAINILLA (POSTRE, JUNIOR)",13.52,64.14,0.1,2.29,
2076,"ALIMENTO PARA BEBE GERBER, VAINILLA, NUTRILAC JUNIOR (CEREAL)",75,391.75,5.75,10,
2077,"ALIMENTO PARA BEBE GERBER, VERDURAS CON CARNE DE CORDERO (PURE)",27.6,54,2,2,
2078,"ALIMENTO PARA BEBE GERBER, VERDURAS CON CARNE DE RES (JUNIOR)",8.84,77,3.6,2.21,
2079,"ALIMENTO PARA BEBE GERBER, VERDURAS CON HIGADO (PURE)",6.9,40,0.4,2.2,
2080,"ALIMENTO PARA BEBE GERBER, VERDURAS CON JAMON (PURE)",6.9,50,1.7,1.8,
2081,"ALIMENTO PARA BEBE GERBER, VERDURAS CON PAVO Y ARROZ (PURE)",6.63,65.29,3.09,2.74,
2082,"ALIMENTO PARA BEBE GERBER, VERDURAS CON PAVO Y PASTA (PURE)",6.47,66,3.11,3,
2083,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO (JUNIOR)",6.6,44,1.1,1.9,
2084,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO Y ARROZ (PURE)",7.07,82,4.24,3.89,
2085,"ALIMENTO PARA BEBE GERBER, VERDURAS CON POLLO Y PASTA (PURE)",6.19,83.12,4.6,4.24,
2086,"ALIMENTO PARA BEBE GERBER, VERDURAS CON RES Y ARROZ (PURE)",7.52,79.79,4.15,3.09,
2087,"ALIMENTO PARA BEBE GERBER, VERDURAS CON TOCINO (PURE)",8.6,71,3.3,1.6,
2088,"ALIMENTO PARA BEBE GERBER, VERDURAS MIXTAS (PURE)",9.5,44,0.1,1.2,
2089,"ALIMENTO PARA BEBE GERBER, YOGURT CON FRUTAS (NECTAR)",12.45,70.05,1.61,1.44,
2090,"ALIMENTO PARA BEBE GERBER, ZANAHORIA (PURE)",7.74,36,0.29,0.49,
2091,"ALIMENTO PARA BEBE NESTUM, 5 Y 8 CEREALES CON PROBIOTICOS (CEREAL)",77.9,365.1,1.5,10,
2092,"ALIMENTO PARA BEBE NESTUM, ARROZ CON PROBIOTICOS (CEREAL)",85.9,379,1,6.6,
2093,"ALIMENTO PARA BEBE NESTUM, AVENA",70.8,358,5.2,7,
2094,"ALIMENTO PARA BEBE NESTUM, AVENA CON PROBIOTICOS (CEREAL)",75.5,387.2,5.2,9.6,
2095,"ALIMENTO PARA BEBE NESTUM, CEREAL (PROMEDIO)",79.82,378.73,2.9,8.32,
2096,"ALIMENTO PARA BEBE NESTUM, CERELAC CON PROBIOTICOS",67.5,416,9.5,15,
2097,"ALIMENTO PARA BEBE NESTUM, PLUS ARROZ Y MANZANA (CEREAL)",84.6,366.7,0.7,5.5,
2098,"ALIMENTO PARA BEBE NESTUM, PLUS AVENA Y CIRUELA (CEREAL)",84,371.4,1,6.6,
2099,"ALIMENTO PARA BEBE NESTUM, TRIGO CON FRUTA Y PROBIOTICOS (CEREAL)",86.2,383,1,7.3,
2100,"ALIMENTO PARA BEBE NESTUM, TRIGO CON MIEL Y PROBIOTICOS (CEREAL)",86,382.2,1,7.3,
2101,"ALIMENTO PARA BEBE, SOPA CONDENSADA DE POLLO CON VERDURAS (INDUSTRIALIZADA)",8.66,53,1.12,2.04,
2102,"ALIMENTO PARA BEBE, SOPA CONDENSADA DE VERDURAS MIXTAS (INDUSTRIALIZADA)",8.2,36,0.4,1.4,
2103,"ALIMENTO PARA BEBE, SOPA DE RES CON TALLARINES",8.18,63,2.26,2.44,
2104,"CREMA CONDENSADA DE APIO PARA BEBE, INDUSTRIALIZADA",7.03,72,4.46,1.32,
2105,"LECHE MATERNIZADA O FORMULA INFANTIL, PREPARACION ESTANDARIZADA",7.36,67.16,3.34,1.9,
2106,"LECHE MATERNIZADA/FORMULA INFANTIL, EN POLVO",55,502,25,14.2,
3000,ALGODON DE AZUCAR,89.25,357,0,0,
3001,"ALMIBAR DE FRUTAS, INDUSTRIALIZADO",85.13,341,0,0,
3002,"ARROZ CON LECHE, PREPARACION ESTANDARIZADA",23.36,125.1,1.89,3.43,
3003,ASPARTAME (CANDEREL-CLÁSICO),87,360,0,0,
3004,AZUCAR Y ESTEVIA (SPLENDA NATURALS),0,0,0,0,
3005,"AZUCAR, MASCABADO",98.09,380,0,0.12,
3006,"AZUCAR, MORENA",98.09,380,0,0.12,
3007,"AZUCAR, PROMEDIO",98.72,382.33,0,0.08,
3008,"AZUCAR, REFINADA",99.98,387,0,0,
3009,"BOCADILLOS DE GARBANZO DULCE, PREPARACION ESTANDARIZADA",50.05,470.55,27.49,6.77,
3010,"BODOQUE DULCE, PREPARACION ESTANDARIZADA",38.74,212.98,4.26,6.11,
