alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
3052,estevia (natural fit),100.0,0.0,0.0,0.0,
3053,estevia (nutra light),100.0,0.0,0.0,0.0,
3054,estevia (splenda naturals),100.0,0.0,0.0,0.0,
3055,estevia-sacarosa (stevien),95.0,0.0,0.0,0.0,
3056,flan o gelatina (promedio),17.53,103.09,2.15,3.48,
3057,"flan preparado, industrializado",15.75,99.47,2.79,2.91,
3058,"flan, preparacion estandarizada",45.94,253.06,4.82,6.68,
3059,"fresas con crema, preparacion estandarizada",13.35,177.52,13.4,1.64,
3060,"fruta con crema y azucar (excepto fresas), preparacion estandarizada",22.43,143.25,6.21,1.43,
3061,"fruta cubierta de chocolate, preparacion estandarizada",25.94,220.51,11.64,3.4,
3062,"gelatina con agua, preparacion estandarizada",1.41,7.17,0.05,0.27,
3063,"gelatina de leche preparada, industrializada",17.7,116.47,3.13,4.33,
3064,"gelatina de leche, preparacion estandarizada",5.68,60.24,2.83,3.0,
3065,"gelatina light preparada, industrializada",0.9,19.09,0.9,1.81,
3066,"gelatina light, en polvo",80.21,198.0,0.0,15.67,
3067,gelatina en polvo,11.45,58.36,0.41,2.23,
3068,"goma de mascar, con azucar tipo bombiux o bubbaloo",75.29,324.29,0.17,0.0,
3069,goma de mascar (promedio),72.8,296.16,0.0,0.0,
3070,goma de mascar sin az?car (tipo trident),0.0,0.0,0.0,0.0,
3071,gomitas cubiertas de azucar,81.27,340.0,0.0,3.64,
3072,gomitas enchiladas,74.58,313.33,0.0,4.08,
3073,"gorditas de nata, preparacion estandarizada",55.17,318.52,6.82,9.07,
3074,"grenetina, en polvo",0.0,34.61,0.0,8.66,
3075,"helado con galleta, sandwich (tipo mordizco)",24.3,147.05,4.69,1.91,
3076,"helado, de chocolate",28.2,216.0,11.0,3.8,
3077,"helado, de fresa",27.6,192.0,8.4,3.2,
3078,helado de leche,23.04,209.75,11.49,3.36,
3079,"helado, de vainilla",23.6,207.0,11.0,3.5,
3080,"jalea o ate, de frutas (excepto membrillo)",54.16,276.66,0.0,0.0,
3081,ate de membrillo,59.05,240.67,0.05,0.69,
3082,jalea real,19.8,148.0,2.7,11.1,
3083,"jarabe, sabor a maple",78.13,312.52,0.0,0.0,
3084,leche condensada,66.53,345.85,5.82,7.25,
3085,leche condensada reducida en azucar (lechera light),62.0,282.0,0.3,7.7,
3086,"malvavisco cubierto de chocolate (malvabon, de la rosa, etc)",69.3,394.4,10.11,6.25,
3087,"mazapan, promedio",65.0,510.0,22.5,12.5,
3088,melaza,71.0,285.0,0.1,0.0,
3089,"mermelada, de manzana",49.33,197.33,0.0,0.0,
3090,mermelada de naranja,60.44,243.56,0.03,0.23,
3091,mermelada promedio (excepto naranja o manzana),57.87,224.81,0.3,0.65,
3092,mermelada reducida en calorãas (todos los sabores),32.46,130.53,0.0,0.0,
3093,"miel, de abeja",78.61,320.16,0.0,0.15,
3094,"miel, de caãa",72.6,294.0,0.2,0.5,
3095,"miel, de maiz",76.79,283.0,0.2,0.0,
3096,"miel, de maple",67.04,260.0,0.06,0.04,
3097,"natilla (todos sabores), preparacion estandarizada",14.11,124.5,5.45,4.2,
3098,nieve de frutas,20.03,86.72,0.33,0.67,
3099,"nieve de frutas con chamoy y chile en polvo, preparacion estandarizada",10.45,43.89,0.36,0.43,
3100,nuez o cacahuates cubiertos de chocolate,52.61,514.85,29.42,9.89,
3101,nutra sweet,89.08,365.0,0.0,2.17,
3102,obleas con cajeta,77.68,369.29,2.92,7.87,
3103,"palanqueta casera, preparacion estandarizada",46.25,414.21,24.3,5.8,
3104,"paleta de hielo, de agua (todos sabores)",18.81,71.7,0.0,0.0,
3105,"paleta de hielo, de leche sin cobertura",34.94,260.67,12.65,1.62,
3106,"paleta de hielo, de leche y cobertura de chocolate (tipo magnum)",22.02,238.09,15.15,3.4,
3107,"paleta payaso, ricolino",67.66,364.44,10.27,4.11,
3108,pasas,79.18,299.0,0.46,3.07,
3109,pasas cubiertas con chocolate,64.2,440.0,19.08,3.85,
3110,"pay de frutas (rebanada), preparacion estandarizada",33.14,399.85,27.62,7.37,
3111,"pay de queso (rebanada), preparacion estandarizada",33.31,293.83,13.71,7.4,
3112,"pepino con chamoy y polvito azucarado (tipo miguelito), preparacion estandarizada",5.97,23.95,0.11,0.58,
3113,piloncillo,93.8,375.0,0.0,0.0,
3114,queso de tuna,79.0,321.0,,1.3,
3115,raspado (promedio),17.98,89.26,0.91,0.47,
3116,splenda,91.17,336.0,0.0,0.0,
3117,sucralosa (canderel-sucarã) c/dextrosa,90.0,348.0,0.0,0.0,
3118,sucralosa (nutra light),92.0,392.0,0.0,0.0,
3119,sucralosa (splenda original lãquido),0.0,0.0,0.0,0.0,
3120,"tejocotes en dulce, preparacion estandarizada",31.48,126.6,0.24,0.33,
3121,"tlaxcal dulce, preparacion estandarizada",58.54,492.33,27.13,4.87,
4001,"chicharron de harina (sabritones, totis)",63.61,513.71,34.0,6.85,
4002,"chicharron de harina preparado con cueritos y verdura, preparacion estandarizada",8.24,192.93,15.56,7.97,
