alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
3065,"Gelatina light preparada, industrializada",0.9,19.09,0.9,1.81,
3066,"Gelatina light, en polvo",80.21,198,0,15.67,
3067,Gelatina en polvo,11.45,58.36,0.41,2.23,
3068,"Goma de mascar, con azucar tipo bombiux o bubbaloo",75.29,324.29,0.17,0,
3069,Goma de mascar (promedio),72.8,296.16,0,0,
3070,Goma de mascar sin azúcar,0,0,0,0,
3071,Gomitas cubiertas de azucar,81.27,340,0,3.64,
3072,Gomitas enchiladas,74.58,313.33,0,4.08,
3073,"Gorditas de nata, preparacion estandarizada",55.17,318.52,6.82,9.07,
3074,"Grenetina, en polvo",0,34.61,0,8.66,
3075,"Helado con galleta, sandwich (tipo mordizco)",24.3,147.05,4.69,1.91,
3076,"Helado, de chocolate",28.2,216,11,3.8,
3077,"Helado, de fresa",27.6,192,8.4,3.2,
3078,Helado de leche,23.04,209.75,11.49,3.36,
3079,"Helado, de vainilla",23.6,207,11,3.5,
3080,"Jalea o ate, de frutas (excepto membrillo)",54.16,276.66,0,0,
3081,Ate de membrillo,59.05,240.67,0.05,0.69,
3082,Jalea real,19.8,148,2.7,11.1,
3083,"Jarabe, sabor a maple",78.13,312.52,0,0,
3084,Leche condensada,66.53,345.85,5.82,7.25,
3085,Leche condensada reducida en azucar (lechera light),62,282,0.3,7.7,
3086,"Malvavisco cubierto de chocolate (malvabon, de la rosa, etc)",69.3,394.4,10.11,6.25,
3087,"Mazapan, promedio",65,510,22.5,12.5,
3088,Melaza,71,285,0.1,0,
3089,"Mermelada, de manzana",49.33,197.33,0,0,
3090,Mermelada de naranja,60.44,243.56,0.03,0.23,
3091,Mermelada promedio (excepto naranja o manzana),57.87,224.81,0.3,0.65,
3092,Mermelada reducida (todos los sabores),32.46,130.53,0,0,
3093,"Miel, de abeja",78.61,320.16,0,0.15,
3095,"Miel, de maiz",76.79,283,0.2,0,
3096,"Miel, de maple",67.04,260,0.06,0.04,
3097,"Natilla (todos sabores), preparacion estandarizada",14.11,124.5,5.45,4.2,
3098,Nieve de frutas,20.03,86.72,0.33,0.67,
3099,"Nieve de frutas con chamoy y chile en polvo, preparacion estandarizada",10.45,43.89,0.36,0.43,
3100,Nuez o cacahuates cubiertos de chocolate,52.61,514.85,29.42,9.89,
3101,Nutra sweet,89.08,365,0,2.17,
3102,Obleas con cajeta,77.68,369.29,2.92,7.87,
3103,"Palanqueta casera, preparacion estandarizada",46.25,414.21,24.3,5.8,
3104,"Paleta de hielo, de agua (todos sabores)",18.81,71.7,0,0,
3105,"Paleta de hielo, de leche sin cobertura",34.94,260.67,12.65,1.62,
3106,"Paleta de hielo, de leche y cobertura de chocolate (tipo magnum)",22.02,238.09,15.15,3.4,
3107,"Paleta payaso, ricolino",67.66,364.44,10.27,4.11,
3108,Pasas,79.18,299,0.46,3.07,
3109,Pasas cubiertas con chocolate,64.2,440,19.08,3.85,
3110,"Pay de frutas (rebanada), preparacion estandarizada",33.14,399.85,27.62,7.37,
3111,"Pay de queso (rebanada), preparacion estandarizada",33.31,293.83,13.71,7.4,
3112,"Pepino con chamoy y polvito azucarado (tipo miguelito), preparacion estandarizada",5.97,23.95,0.11,0.58,
3113,Piloncillo,93.8,375,0,0,
3114,Queso de tuna,79,321,,1.3,
3120,"Tejocotes en dulce, preparacion estandarizada",31.48,126.6,0.24,0.33,
3121,"Tlaxcal dulce, preparacion estandarizada",58.54,492.33,27.13,4.87,
4001,"Chicharron de harina (sabritones, totis)",63.61,513.71,34,6.85,
4002,"Chicharron de harina preparado con cueritos y verdura, preparacion estandarizada",8.24,192.93,15.56,7.97,
4003,"Dorilocos (frituras de maiz con verdura, crema, queso, cueritos, etc), preparacion estandarizada",18.47,139.14,6.15,2.67,
4004,"Fritura de frutas y verduras (platanos, manzanas, etc)",66.26,497.96,26.7,1.73,
4006,Frituras de maiz sabor nachos,60.81,519,27.42,7.36,
4007,Frituras de maiz sabor queso bajo en grasa,71.6,445,15.2,8.7,
4008,Palomitas de maiz de aire (sin aceite),77.78,387,4.54,12.94,
4009,Palomitas de maiz promedio (industrializadas y caseras),54.74,472.25,24.99,8.48,
4010,Papas (sticks todas marcas),59.76,476.61,24.46,4.35,
4011,"Papas en hojuelas (todas marcas: sabritas, barcel, etc.)",52.98,516.03,31.33,6.09,
4012,Pita chips,68.26,457,15.2,11.79,
4013,Pretzels,80.39,384,2.93,10.04,
5035,"Atole  de  avena con leche, preparacion estandarizada",20.11,128.91,3.53,4.27,
5036,"Atole  de ciruela sin leche, preparacion estandarizada",8.8,36.53,0.15,0.36,
5037,"Atole  de vainilla con leche, preparacion estandarizada",11.53,83.6,2.93,2.87,
5038,"Atole (cualquier tipo), preparacion estandarizada",16.33,85.21,1.49,1.99,
5039,Atole (promedio),16.06,83.99,1.53,1.96,
5040,"Atole agrio sin leche, preparacion estandarizada",6.71,29.18,0.31,0.8,
5041,"Atole champurrado sin leche, preparacion estandarizada",13.18,57.01,0.31,0.37,
5042,Atole de agua de pinole,35.89,173.31,2.86,2.1,
5043,Atole de ajonjoli (con leche),16.51,100.41,3.19,2.15,
5044,Atole de ajonjoli (sin leche),14.65,78.02,2.06,0.96,
5045,"Atole de arroz con leche, preparacion estandarizada",31.03,147.02,1.51,2.09,
